term,pos,notes,is_case_sensitive,translation_pt_pt,notes_pt_pt
mouse,noun,,false,ratinho,
wallpaper||wallpapers||desktop wallpaper||desktop wallpapers,noun,,false,fundo de ecrã||fundos de ecrã||papel de parede||papéis de parede,
Trash||Recycle Bin,noun,,false,Lixo,
Fetched,adjective,,false,Procurada,
image||images,noun,,false,imagen||imagens,
folder||folders,noun,,false,pasta||pastas,
icon||icons,noun,,false,ícone||ícones,
show||display,verb,,false,mostrar||mostra,
option||options,noun,,false,opção||opções,
Favorites,noun,,false,Favoritos,
source||sources,noun,,false,fonte||fontes,
copy,verb,,false,copiar||cópia,
quote||quotes,noun,,false,citação||citações,
desktop,noun,,false,ambiente de trabalho,
please,interjection,,false,por favor,
file||files,noun,,false,ficheiro||ficheiros,
current,adjective,,false,atual,
add,verb,,false,adicionar||adicione||adiciona,
set||define,verb,,false,definir||define,
next,adjective,,false,seguinte||seguintes||próximo||próxima,
running,adjective,,false,em execução,
profile||profiles,noun,,false,perfil||perfis,
move,verb,,false,mover,
example||examples,noun,,false,exemplo||exemplos,
permission||permissions,noun,,false,permissão||permissões,
path,noun,,false,caminho,
config||configuration,noun,,false,configuração||configurações,
slideshow,noun,,false,apresentação de diapositivos,
download||downloads,noun,,false,descarregamento||descarregamentos,
